optical_r,optical_g,optical_b,conductivity_mv,purity
121,168,151,175,82.46203138940189
165,111,128,267,76.92058014267982
165,202,130,389,58.52806674392829
165,87,107,186,73.78470984738422
255,200,202,102,79.44645702711678
167,156,112,310,59.697961330151415
184,147,129,187,81.42257663177682
178,133,128,0,100.0
169,161,176,284,66.5395483358346
140,148,141,146,81.9997892612025
172,183,187,190,77.72939114826025
126,153,129,233,72.11640131979702
142,154,158,219,76.76933692687086
135,139,124,270,80.89860894583258
152,148,214,156,79.76487149627003
219,159,114,251,67.40829923989389
93,98,159,174,73.4622909718242
170,109,169,273,72.42095985749968
101,172,162,261,68.8438791339095
135,155,144,106,84.85313480839288
182,144,146,308,73.70652016136506
151,150,151,146,92.3980150225682
117,160,145,280,66.59788217130647
128,133,178,236,63.71730024319693
170,126,216,383,61.23756844918461
128,155,133,177,76.67685087119999
156,120,108,165,83.55312799581385
151,162,147,198,69.54948091144082
130,98,227,169,80.11298669149656
214,180,125,279,60.09414035359609
169,164,199,38,95.75382059533261
89,157,200,94,84.77136533918217
155,179,133,93,83.38030290301678
130,199,167,295,64.1648184353661
175,180,198,371,61.181592284783505
126,94,138,189,77.02947226557617
146,111,143,183,82.12206490236242
165,131,132,207,86.58220292257741
175,150,119,316,57.77879194144475
113,165,130,107,93.78606287484313
139,128,113,223,74.72177968761608
135,155,151,297,64.75607975838436
130,127,126,250,64.99843187130504
202,131,157,218,73.35439804611484
162,107,103,300,69.5082505596223
112,122,159,0,95.61225439811231
177,109,175,267,76.20577465123674
213,120,90,134,71.69412154974219
180,181,161,16,94.73955526076973
104,121,186,251,63.088032777934416
135,228,113,337,61.618159413124836
188,164,200,186,80.7344369504865
128,155,162,295,66.44619103159475
163,124,128,361,47.828930716864335
173,171,148,331,65.59474073398248
122,132,166,363,62.78369275866755
148,153,152,274,74.27147377480848
52,226,166,207,75.97891095911076
119,147,122,39,87.64473160175474
142,184,155,175,83.55108052725224
112,128,107,115,89.31253756238986
198,148,146,417,46.707062079967415
107,203,122,182,77.19825912959486
136,131,127,212,73.47910084496164
153,204,187,255,69.39238663449177
193,171,182,204,76.53838241769168
106,133,168,369,56.71385717943224
184,168,117,137,78.67145960419192
150,179,140,219,76.32076208744012
120,168,186,125,77.86377030568599
163,102,154,67,84.62087435557406
155,128,219,138,84.79686641478253
131,142,161,196,72.75602982420672
152,147,155,157,87.13156250454605
138,168,140,130,87.31295646426976
153,155,154,59,84.870966356047
169,109,145,191,74.26217673832173
197,161,171,49,97.12054701523687
112,168,178,276,63.29417234430158
213,166,126,208,71.72797868845306
91,182,110,54,90.36030446625948
145,175,94,169,82.71695254641297
167,163,165,124,84.09230556977752
158,147,116,231,71.66244902654178
131,100,85,334,67.01184930849253
143,162,161,12,100.0
135,156,224,211,79.04429025390898
132,158,149,183,80.77659071282511
175,111,175,267,64.80867139179536
160,117,152,221,71.49777796721717
129,181,147,124,87.46257052632878
176,148,177,168,82.54199110444344
159,170,141,120,93.10799296473215
174,150,158,307,70.95225046268068
168,150,159,202,70.9345984912009
125,178,129,390,62.559738088614594
133,134,179,193,72.60969686342794
172,152,144,129,83.68014364023826
168,136,127,48,93.70100103125846
149,136,166,19,100.0
153,140,123,41,100.0
188,156,150,226,78.23361529568092
132,135,149,250,72.38401690639806
166,187,182,41,94.32252824240277
143,123,164,289,73.13827712936919
143,144,149,151,82.59666187221406
182,136,174,214,84.07605677956161
174,193,191,361,59.65035379595701
174,155,166,289,71.33871544545697
189,180,150,173,82.5796212602723
150,105,110,110,86.85793305307227
170,158,118,0,100.0
140,176,140,128,81.81373406726539
159,152,131,178,77.90849123026985
146,181,144,101,82.34922883514153
152,134,151,186,82.64750615310115
167,192,165,207,79.49468251756058
125,218,147,177,79.78886433075941
212,139,164,134,90.62246216673769
119,136,151,216,76.07201990585477
113,193,90,244,71.94370827796256
184,197,121,90,80.04149561930343
173,134,145,341,61.764501487627996
168,137,113,190,81.07768878782888
168,141,167,201,81.94551055371572
149,109,195,270,67.1801652616791
123,122,186,223,72.79200374070967
152,119,143,295,60.91063126659597
129,126,194,228,70.96485399596695
179,148,154,138,88.90191581759893
145,157,139,236,78.12602508053284
125,196,131,85,89.50332860690605
140,120,140,210,76.7488684359048
162,179,138,196,77.7853157931409
133,143,155,179,77.34839430263277
125,148,154,187,83.24414210101267
157,170,150,11,99.65486472194696
157,116,163,145,85.26009423996399
134,161,185,209,73.3698257866621
135,154,178,215,65.38328540064377
156,164,105,97,92.53576355876848
106,158,73,326,58.55581271995798
107,223,178,113,77.18612117978438
128,130,108,296,69.66739455956998
143,134,143,242,72.33993680040436
159,131,114,135,88.59968192023311
194,133,95,377,59.58502974788348
175,130,166,80,92.3678466160024
145,185,172,291,60.97022144399734
149,192,132,300,73.00971992693201
119,132,72,132,81.75625265616927
149,125,133,339,62.10361430376898
141,164,161,174,81.61694233671125
159,133,105,228,64.76882383550841
125,168,155,226,77.04326405740335
165,156,149,186,75.15314245908965
195,104,167,281,59.73664857078234
146,196,153,279,61.838204068910535
162,203,120,25,98.31344187494963
170,131,185,330,60.153683031536055
137,138,145,33,100.0
156,158,149,303,66.27099268473852
150,160,122,312,58.363210212035256
152,169,136,90,83.6673778002567
126,210,123,158,84.8290581000347
150,144,144,89,89.72050911031667
164,126,201,178,75.00856351754699
193,108,108,169,77.55009112926393
178,128,101,277,69.85891368083772
214,149,194,331,67.03699407951231
126,203,143,339,69.14249614946462
176,134,129,143,80.75115677105458
155,156,181,179,73.36976156958981
215,149,131,31,90.58267419438363
125,185,204,119,83.70140253291443
124,225,170,296,59.53120536894696
132,134,135,361,56.66424542552479
86,135,214,76,86.96893940774943
134,181,131,140,82.45673824214775
127,170,172,197,77.21398497705793
154,205,158,228,70.05752332649965
160,167,189,119,83.64799642897115
206,139,196,242,65.52883427865848
178,167,150,152,87.00099205562393
132,183,127,198,81.67624667361875
123,174,163,254,62.16906068880952
164,165,129,200,72.85244569903794
110,182,210,156,70.31735372454962
204,185,154,189,73.1998803279655
185,191,139,191,76.1328101510482
135,169,155,162,74.60177390150734
98,144,109,174,73.04070093437345
190,154,120,359,55.3802131395925
146,186,186,256,71.63633664699474
187,125,130,170,79.24672168518126
102,161,118,269,64.94131223331372
132,138,166,166,81.984104360697
150,150,185,317,63.81659957706367
151,188,171,236,72.04172444836973
136,155,179,189,87.06726045149267
168,151,127,244,80.20230525895172
117,109,107,42,83.452093815362
145,172,195,87,91.84866208939587
153,169,140,80,94.45698277245795
165,214,142,214,68.50868355623689
171,140,189,373,63.2938882187743
116,156,166,423,62.58965959206276
103,157,163,263,64.73727596877794
188,197,214,250,62.962485894928676
159,147,130,19,100.0
127,158,177,145,83.95747655412823
196,168,151,121,87.40738137619762
153,155,158,137,87.20294608200247
185,136,195,183,78.95347960464072
152,155,165,152,77.06763935844458
211,182,166,2,99.58658853310725
202,119,182,274,72.69794996213888
142,153,139,92,88.55304627965985
179,128,124,223,73.6326152509307
169,185,118,407,47.34446248722138
191,104,91,108,84.47127378008918
121,133,211,0,97.51028720857073
170,161,116,171,79.33904491500346
181,196,143,310,70.42176679935253
97,148,141,395,55.629613845100295
114,133,159,77,92.023029629468
88,206,174,249,62.901678306539424
141,106,175,153,80.68223924562881
171,84,132,189,74.97822871048581
195,163,144,464,51.52653961020471
152,134,158,49,91.95236535583321
198,119,142,225,72.49263702164166
108,171,198,246,73.98023585720755
98,157,164,308,63.36617881380892
148,133,172,209,69.01711449630662
161,111,169,230,82.2979195210271
149,176,185,160,87.80727039345244
87,169,155,226,66.58868652447191
147,147,111,165,84.69853902622596
110,205,161,262,65.98512614724328
170,117,130,163,81.3674360766553
160,104,134,237,74.17112064506748
121,129,167,197,75.7779609984184
134,148,187,312,62.13117167206803
118,157,150,194,75.1972947384187
148,142,159,22,92.26904042259378
178,160,201,326,58.79088895884778
120,112,157,109,85.01410854975322
165,193,228,134,76.22120005444623
134,147,166,140,87.6602603285631
126,183,97,337,68.23623077667963
146,160,172,0,95.29973379314978
118,163,161,513,47.097022502676886
133,167,188,305,68.39842555151468
114,163,170,222,76.71001135459636
208,169,145,194,76.87977633958042
151,189,113,228,77.06341209179863
129,155,143,252,75.5612447634033
156,171,124,264,64.76168788836351
146,147,132,255,77.59578032194635
143,193,167,208,80.28645418633371
168,129,200,180,73.73356947910709
172,204,161,184,77.43968917723801
134,148,114,180,82.71664496405536
132,107,163,313,63.95343090210318
141,153,185,259,77.11489023883004
80,129,131,0,100.0
104,175,145,265,65.77006983682509
191,130,150,219,68.14477698423113
199,136,126,198,77.36909297802437
142,93,169,161,83.30781252563072
167,136,146,312,65.89566813077616
159,77,162,294,73.16630331660517
242,102,123,122,72.75697100138376
183,172,136,240,76.01459311515805
146,173,171,102,84.37069589620552
121,162,138,62,99.74688953103649
101,120,201,137,89.76257676584059
156,148,138,286,66.56671706108328
127,149,156,295,66.2522143204571
107,115,177,251,73.94793943489901
130,195,107,272,65.46434675105242
117,176,97,251,69.07294391033881
200,143,104,135,81.47694210271206
176,150,187,243,62.95163421901173
149,156,133,280,70.73081126952883
194,88,226,275,59.951361129679135
152,142,133,318,64.38438588800115
124,129,155,270,77.61816001734408
195,119,196,235,64.11746552860373
166,141,210,307,69.11602593373988
118,203,211,197,71.60518534834095
144,169,186,111,84.45119915752083
123,132,180,183,81.90185948025857
108,167,167,125,85.40025647284448
